,Year Code,County,Deaths,Population,Crude Rate
505,1999,"Pulaski County, GA",0.0,9458.0,0.0
506,1999,"Putnam County, GA",,18667.0,
507,1999,"Quitman County, GA",0.0,2563.0,0.0
508,1999,"Rabun County, GA",,14798.0,
509,1999,"Randolph County, GA",0.0,7827.0,0.0
510,1999,"Richmond County, GA",14.0,199395.0,7.0212392487274
511,1999,"Rockdale County, GA",0.0,69214.0,0.0
512,1999,"Schley County, GA",0.0,3706.0,0.0
513,1999,"Screven County, GA",0.0,15256.0,0.0
514,1999,"Seminole County, GA",,9343.0,
515,1999,"Spalding County, GA",,58227.0,
516,1999,"Stephens County, GA",,25270.0,
517,1999,"Stewart County, GA",0.0,5270.0,0.0
518,1999,"Sumter County, GA",,32957.0,
519,1999,"Talbot County, GA",0.0,6478.0,0.0
520,1999,"Taliaferro County, GA",,2050.0,
521,1999,"Tattnall County, GA",,22049.0,
522,1999,"Taylor County, GA",,8790.0,
523,1999,"Telfair County, GA",,11747.0,
524,1999,"Terrell County, GA",,10954.0,
525,1999,"Thomas County, GA",0.0,42360.0,0.0
526,1999,"Tift County, GA",,38234.0,
527,1999,"Toombs County, GA",0.0,26016.0,0.0
528,1999,"Towns County, GA",,9135.0,
